id,summary_date,platform,total_stores_checked,stores_100_percent,stores_80_plus_percent,stores_below_80_percent,average_compliance_percentage,total_out_of_stock_items,created_at
1537,2025-10-06,grabfood,69,16,68,1,95.48,296,2025-10-06 02:00:16.540143
1882,2025-10-11,grabfood,69,27,69,0,97.36,173,2025-10-11 02:00:15.160617
1261,2025-10-02,grabfood,69,17,68,1,95.48,296,2025-10-02 02:00:13.942792
2479,2025-10-19,grabfood,69,18,67,2,96.48,231,2025-10-19 02:00:17.053140
2623,2025-10-21,grabfood,70,12,70,0,97.34,177,2025-10-21 02:00:16.199786
1606,2025-10-07,grabfood,69,23,68,1,96.29,243,2025-10-07 03:36:12.345163
1330,2025-10-03,grabfood,69,16,68,1,95.70,282,2025-10-03 02:00:16.201187
2232,2025-10-16,grabfood,69,35,69,0,97.85,141,2025-10-16 02:00:14.378790
1951,2025-10-12,grabfood,69,26,69,0,97.34,174,2025-10-12 02:00:18.096107
853,2025-09-30,grabfood,69,29,68,1,97.16,186,2025-09-30 02:00:00.018414
715,2025-09-29,grabfood,69,26,68,1,96.81,209,2025-09-29 02:00:00.026218
646,2025-09-28,grabfood,69,35,69,0,97.83,142,2025-09-28 02:00:00.026839
577,2025-09-27,grabfood,69,39,69,0,98.12,123,2025-09-27 02:00:00.027724
437,2025-09-26,foodpanda,2,0,0,2,77.16,53,2025-09-26 01:08:55.426820
439,2025-09-26,grabfood,69,34,67,2,97.28,178,2025-09-26 02:00:00.035206
384,2025-09-25,foodpanda,45,0,0,45,72.32,1445,2025-09-25 02:22:33.177235
320,2025-09-25,grabfood,69,46,68,1,98.09,125,2025-09-25 02:00:00.027466
103,2025-09-24,grabfood,69,47,65,4,96.58,224,2025-09-24 02:28:29.793637
33,2025-09-23,grabfood,68,28,64,4,94.75,339,2025-09-23 00:18:30.840677
2763,2025-10-23,grabfood,70,10,70,0,97.07,195,2025-10-23 02:00:16.895079
22,2025-09-22,foodpanda,7,7,7,0,100.00,0,2025-09-22 03:47:02.245180
21,2025-09-22,grabfood,4,1,4,0,98.16,7,2025-09-22 03:08:08.978607
19,2025-09-21,grabfood,1,0,1,0,82.11,17,2025-09-21 13:55:18.411603
17,2025-09-21,foodpanda,3,3,3,0,100.00,0,2025-09-21 12:40:24.814582
2370,2025-10-17,foodpanda,19,0,0,19,62.43,828,2025-10-17 09:30:11.865263
1,2025-09-20,foodpanda,13,13,13,0,100.00,0,2025-09-20 09:29:22.577116
14,2025-09-20,grabfood,3,0,3,0,97.89,6,2025-09-20 10:01:45.090637
1675,2025-10-08,grabfood,69,19,68,1,96.84,207,2025-10-08 02:00:14.388899
1399,2025-10-04,grabfood,69,20,68,1,96.37,238,2025-10-04 02:00:13.818264
2020,2025-10-13,grabfood,69,19,69,0,97.53,162,2025-10-13 02:00:13.290457
1061,2025-10-01,grabfood,69,18,69,0,95.84,273,2025-10-01 02:00:16.742804
1744,2025-10-09,grabfood,69,19,69,0,96.99,197,2025-10-09 02:00:14.025773
1468,2025-10-05,grabfood,69,18,68,1,96.37,238,2025-10-05 02:00:14.355664
2301,2025-10-17,grabfood,69,23,68,1,97.04,194,2025-10-17 02:00:15.037395
2089,2025-10-14,grabfood,69,29,68,1,97.86,140,2025-10-14 02:00:14.638487
2620,2025-10-20,foodpanda,2,0,0,2,76.73,54,2025-10-20 02:29:09.675096
2548,2025-10-20,grabfood,70,19,68,2,96.71,219,2025-10-20 01:19:01.683864
1813,2025-10-10,grabfood,69,20,69,0,97.39,171,2025-10-10 02:00:13.563195
2410,2025-10-18,grabfood,69,18,69,0,97.18,185,2025-10-18 02:00:15.671538
2158,2025-10-15,grabfood,69,19,65,4,95.85,272,2025-10-15 02:00:17.979186
2693,2025-10-22,grabfood,70,16,70,0,97.11,192,2025-10-22 02:00:18.100071
2227,2025-10-15,foodpanda,5,2,2,3,84.66,89,2025-10-15 03:27:12.008051
2833,2025-10-24,grabfood,70,9,70,0,97.35,176,2025-10-24 02:00:15.868012
